name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
2-floors overlooking Marble Church,,Indre By,55.68789,12.59094,Entire home/apt,2000.0,3,12,0.1,2,267,2,
Spend the summer in Copenhagen at Frederiksberg,,Frederiksberg,55.68448,12.51957,Entire home/apt,750.0,3,33,0.31,1,31,1,
Room with a nice view near Copenhagen,,Brnshj-Husum,55.71164,12.5059,Private room,450.0,2,19,1.4,2,357,14,
Large room near Copenhagen,,Brnshj-Husum,55.71088,12.50751,Private room,430.0,3,17,1.73,2,354,17,
"Free parking,garden near City",,Valby,55.66744,12.493,Entire home/apt,1050.0,4,21,0.18,1,258,3,
Large and light apartment in hip area,,Nrrebro,55.68992,12.56523,Entire home/apt,1190.0,4,31,0.26,1,268,5,
Copenhagen C - 160 sqm - up to 8 persons,,Vesterbro-Kongens Enghave,55.66945,12.5499,Entire home/apt,1190.0,7,22,0.2,1,0,2,
City centre lakeside balcony flat,,Indre By,55.6786,12.55948,Entire home/apt,1200.0,60,38,0.38,1,103,4,
"Nice location in Vesterbro, Cph",,Vesterbro-Kongens Enghave,55.66756,12.55075,Entire home/apt,1007.0,7,9,0.13,1,113,1,
Unique Copenhagen house by the sea!,,Amager st,55.65266,12.63972,Entire home/apt,3400.0,2,39,0.33,1,266,9,
Rooftop Apartment Central Nørrebro,,Nrrebro,55.69019,12.56167,Entire home/apt,1150.0,4,25,0.24,1,248,3,
Charming  family apartment,,sterbro,55.70466,12.58439,Entire home/apt,1000.0,6,7,0.07,1,91,2,
Bright and spacious family apartment in Vesterbro,,Vesterbro-Kongens Enghave,55.66607,12.55027,Entire home/apt,1100.0,5,18,0.16,1,69,3,
Best location by Sct Hans Square,,Nrrebro,55.68934,12.56422,Entire home/apt,1000.0,90,14,0.12,1,38,1,
Classic Vesterbro apartment - 100 m from Metro,,Vesterbro-Kongens Enghave,55.66639,12.54657,Entire home/apt,775.0,7,18,0.16,1,0,4,
Chr. Havn - lige ved kanalen,,Indre By,55.67424,12.59703,Entire home/apt,1200.0,1,105,1.35,1,262,17,
Unique Copenhagen storefront artist apartment,,Frederiksberg,55.67144,12.53327,Entire home/apt,1400.0,3,1,0.01,1,0,0,
"Simple living in Nørrebro, Cph",,Nrrebro,55.68737,12.54282,Entire home/apt,650.0,1,36,0.3,1,0,0,
Vesterbro apartment with balcony,,Vesterbro-Kongens Enghave,55.66744,12.55291,Entire home/apt,1225.0,4,15,0.13,1,117,0,
Homely apartment in central city,,Amager Vest,55.66648,12.58271,Entire home/apt,700.0,2,25,0.4,1,0,10,
Apartment in the heart of Vesterbro,,Vesterbro-Kongens Enghave,55.66611,12.55368,Entire home/apt,750.0,4,16,0.14,1,0,0,
Central & light apartment w garden,,Frederiksberg,55.68435,12.53637,Entire home/apt,599.0,3,89,0.74,1,0,0,
Large penthouse near center of CPH,,Amager Vest,55.65661,12.60687,Entire home/apt,1375.0,1,15,0.13,1,23,3,
